ScoreRank,Country,Deals,DealsRank,Filings,FilingsRank,Jobs,JobsRank,Patents,PatentsRank,Score,Region
1,US,10,1,10,1,10,1,10,1,10,North America
2,Singapore,1.34,11,3.06,5,1.2,11,1,19,6.722,Asia-Pacific
3,Switzerland,1.25,13,1.5,24,1.17,12,1,20,6.714,Europe
4,Netherlands,1.21,14,1.72,17,1.11,19,1.01,14,6.62,Europe
5,Japan,1.64,7,4.23,3,1.13,15,1.8,4,6.422,Asia-Pacific
6,South Korea,1.46,10,1.82,15,1.04,27,1.98,3,6.411,Asia-Pacific
7,Sweden,1.21,15,1.56,23,1.12,17,1,21,6.405,Europe
8,Finland,1.12,19,1.28,36,1.04,28,1,22,6.309,Europe
9,Germany,1.62,8,2.89,6,1.53,5,1.08,8,6.282,Europe
10,Ireland,1.16,17,1.3,35,1.45,6,1,23,6.277,Europe
11,UK,2.5,3,2.75,8,1.76,3,1.08,9,6.205,Europe
12,France,1.51,9,2.25,11,1.38,7,1.03,11,5.933,Europe
13,Israel,1.68,6,1.43,30,1.14,14,1,24,5.758,Middle East
14,Denmark,1.11,21,1.33,33,1.04,29,1.01,15,5.755,Europe
15,Austria,1.07,25,1.31,34,1.03,33,1,25,5.567,Europe
16,Canada,1.85,4,2.46,10,1.55,4,1.11,7,5.527,North America
17,Malaysia,1.05,30,2.55,9,1.06,24,1,26,5.527,Asia-Pacific
18,Czech Republic,1.03,38,1.21,44,1.04,30,1,27,5.332,Europe
19,Australia,1.34,12,2.84,7,1.21,10,1.26,5,5.092,Asia-Pacific
20,China,3.65,2,6.44,2,1.38,8,4.39,2,5.082,Asia-Pacific
21,UAE,1.05,31,1.26,37,1.02,40,1,28,4.991,Middle East
22,Luxembourg,1.02,42,1.18,45,1.03,34,1.01,16,4.936,Europe
23,Iceland,1.02,43,1.02,104,1,63,1,29,4.908,Europe
24,Slovenia,1.01,60,1.06,73,1.01,48,1,30,4.906,Europe
25,Estonia,1.04,34,1.08,64,1,64,1,31,4.877,Europe
26,Hungary,1.02,44,1.16,49,1.05,25,1,32,4.802,Europe
27,Italy,1.12,20,1.79,16,1.33,9,1,33,4.774,Europe
28,Portugal,1.06,26,1.22,42,1.04,31,1,34,4.769,Europe
29,India,1.85,5,3.97,4,2.59,2,1,35,4.762,Asia-Pacific
30,New Zealand,1.05,32,1.45,29,1.03,35,1,36,4.727,Europe
31,Malta,1.01,61,1.04,85,1.01,49,1,37,4.727,Asia-Pacific
32,Slovakia,1.02,45,1.11,57,1.02,41,1,38,4.698,Europe
33,Spain,1.21,16,1.67,20,1.13,16,1.05,10,4.661,Europe
34,Thailand,1.03,39,2.16,12,1.02,42,1,39,4.609,Asia-Pacific
35,Belgium,1.09,23,1.38,31,1.07,20,1,40,4.483,Europe
36,Philippines,1.02,46,1.57,22,1.07,21,1,41,4.46,Asia-Pacific
37,Norway,1.13,18,1.36,32,1.03,36,1,42,4.421,Europe
38,Poland,1.08,24,1.47,26,1.17,13,1.01,17,4.397,Europe
39,Lithuania,1.02,47,1.04,86,1.03,37,1,43,4.395,Europe
40,Mexico,1.04,35,1.68,19,1.07,22,1.02,12,4.384,Latin America and Caribbean
41,Saudi Arabia,1.02,48,1.22,43,1.01,50,1,44,4.287,Middle East
42,Brazil,1.11,22,1.97,14,1.07,23,1.02,13,4.281,Latin America and Caribbean
43,Romania,1.04,36,1.26,38,1.12,18,1,45,4.26,Europe
44,Bulgaria,1.01,62,1.17,47,1.02,43,1,46,4.195,Europe
45,Hong Kong,1.06,27,1.47,27,1.05,26,1,47,4.105,Asia-Pacific
46,Indonesia,1.05,33,2.12,13,1.02,44,1,48,4.102,Asia-Pacific
47,Vietnam,1.02,49,1.67,21,1.02,45,1,49,4.102,Asia-Pacific
48,Cyprus,1.02,50,1.05,79,1,65,1,50,4.055,Europe
49,Qatar,1.01,63,1.13,54,1,66,1,51,4.048,Middle East
50,Turkey,1.04,37,1.47,28,1.01,51,1,52,4.04,Europe
51,Latvia,1.02,51,1.05,80,1,67,1,53,3.957,Europe
